Call#,Author,Title,Holds,Frozen Holds,Holdable Items,Non-Holdable Items,Pending Orders,Ratio,Bib#,Pub Year,Date Billed,YTD Circ,LY Circ
J P AWAN READ-ALONG,"Awan, Jashar, author, illustrator. https://id.oclc.org/worldcat/entity/E39PCjwxCXxpqHQTFHDwDKKcKb",Every Monday Mabel,2,0,1,0,0,2,b3483311a,2026,n/a,n/a,n/a
J P BLUEY EAS,,Where's Bluey at Easter? : a search-and-find book,1,0,0,0,0,1,b3480138a,2026,2026-05-29,0,1
J P CALI,"Calì, Davide, 1972- http://id.loc.gov/authorities/names/n2009028984 author.",Cinderella and the furry slippers,1,0,0,0,0,1,b1602111a,2017,2026-07-29,0,1
J P FLETCHER,"Fletcher, Tom, 1985- http://id.loc.gov/authorities/names/nb2012020913 author.",The dinosaur that pooped the bed!,1,0,0,0,0,1,b2243948a,2018,2026-07-29,0,5
J P GRIMM,"Barnett, Mac, author. https://id.oclc.org/worldcat/entity/E39PBJtX768P4XcTXHxpvxTJXd",Rumpelstiltskin,2,0,1,0,0,2,b3478963a,2025,n/a,n/a,n/a
J P HOWDEN,"Howden, Sarah, author https://id.oclc.org/worldcat/entity/E39PCjJJDbfJPrvgR9FhfwCpHd",The wise pickle,3,0,1,0,1,3,b3482245a,2026,n/a,n/a,n/a
J P LEGO,"Steele, Michael Anthony. http://id.loc.gov/authorities/names/n99018075",Fight this fire!,2,0,0,0,0,2,b1428563a,2011,n/a,n/a,n/a
J P SCARRY,"Scarry, Richard, https://id.loc.gov/authorities/names/n79046225 author.",Richard Scarry's What do people do all day?,2,0,1,0,0,2,b3455939a,2015,n/a,n/a,n/a
J P SHARP,"Sharp, Sid, author, artist.",Bog Myrtle,3,0,1,0,1,3,b3469383a,2024,n/a,n/a,n/a
J P SHARPSON,"Sharpson, Neil, author. https://id.oclc.org/worldcat/entity/E39PCjxFgrFkWydQccWpkHJrG3",Don't trust fish,6,1,3,0,0,2,b3470707a,2025,n/a,n/a,n/a
J P SPIRES,"Spires, Ashley, 1978- http://id.loc.gov/authorities/names/no2009033278 author, illustrator.",The thing Lou couldn't do,2,0,1,0,0,2,b2211784a,2017,n/a,n/a,n/a
J P TATSUKAWA,"Tatsukawa, Maya, https://id.loc.gov/authorities/names/n2019025051 author, illustrator.",Sunday pancakes,3,0,1,0,2,3,b3087828a,2022,n/a,n/a,n/a
Y FICTION BARNES NATURALS BK. 2,"Barnes, Jennifer Lynn, http://id.loc.gov/authorities/names/n2005024345 author.",Killer instinct,2,0,1,0,0,2,b1483628a,2014,n/a,n/a,n/a
Y FICTION COLLINS HUNGER BK. 1 LT,"Collins, Suzanne. http://id.loc.gov/authorities/names/n2010078950",The Hunger Games : large print,1,0,0,0,0,1,b1434260a,2009,2026-08-03,0,8
Y FICTION HEMINGWAY,"Hemingway, Ernest, 1899-1961. https://id.loc.gov/authorities/names/n78078534",The old man and the sea,2,0,1,0,1,2,b3192698a,2020,2026-07-06,0,7
Y FICTION MEYER LUNAR BK. 4,"Meyer, Marissa, http://id.loc.gov/authorities/names/n2011078235 author.",Winter,1,0,0,0,0,1,b1508746a,2015,2026-08-05,0,6
Y GN LAMBCAT CURSED V. 2,"LambCat (Comics writer and artist), https://id.loc.gov/authorities/names/no2023006512 author, artist.",Cursed Princess Club. 2,2,0,1,0,0,2,b3460870a,2023,n/a,n/a,n/a
Y GN ONE MOB V. 1,"ONE, 1986- http://id.loc.gov/authorities/names/no2015151984 author, artist.",Mob psycho 100. 1,1,0,0,0,0,1,b2375007a,2018,2026-08-05,0,8
Y GN SADAMOTO NEON V. 3,"Sadamoto, Yoshiyuki, 1962- http://id.loc.gov/authorities/names/n2003032078",Neon genesis evangelion. 3,1,0,0,0,0,1,b1253928a,2004,2026-08-01,0,1
Y GN SADAMOTO NEON V. 4,"Sadamoto, Yoshiyuki, 1962- http://id.loc.gov/authorities/names/n2003032078",Neon genesis evangelion. 4,1,0,0,0,0,1,b1295763a,1999,2026-08-01,0,2
Y GN SANBE ERASED V. 1,"Sanbe, Kei, http://id.loc.gov/authorities/names/n2007084019 author, artist.",Erased. 1,1,0,0,0,0,1,b2233237a,2017,2026-07-27,0,6
Y GN SHIRAHAMA WITCH HAT V. 5,"Shirahama, Kamome, http://id.loc.gov/authorities/names/no2019053703 author, artist.",Witch hat atelier. 5,2,0,1,0,0,2,b2459061a,2020,n/a,n/a,n/a
Y GN SUZUKI SAKAMOTO V. 18,"Suzuki, Yūto, author, illustrator.","Sakamoto days. 18, Melee",1,0,0,0,0,1,b3475809a,2025,2026-08-04,0,6
Y GN SUZUKI SAKAMOTO V. 19,"Suzuki, Yūto, author, illustrator.","Sakamoto days. 19, Museum closed",1,0,0,0,0,1,b3479351a,2025,2026-08-04,0,4
